1,3,37,1004
1,4,1,997
2,1,62,1041
2,3,37,2401
2,4,1,801
3,5,20,992
3,6,10,752
3,32,70,922
4,5,20,753
4,6,10,753
4,32,70,1463
5,7,30,1073
5,8,10,1414
5,32,60,1444
6,7,30,1384
6,8,10,1425
6,32,60,1325
7,9,80,800
7,10,5,1025
7,11,15,974
8,9,80,971
8,10,5,2441
8,11,15,891
9,12,85,982
9,13,5,722
9,25,10,942
10,12,85,753
10,13,5,723
10,25,10,1413
11,15,15,1143
11,16,5,1384
12,15,15,1215
12,16,5,1385
13,14,20,1060
13,15,10,971
13,16,10,1469
13,17,10,841
13,18,50,982
14,19,80,812
14,20,20,972
15,19,80,713
15,20,20,773
16,15,40,1473
16,21,60,1333
17,15,40,1444
17,21,60,1374
18,22,75,1414
18,23,25,925
19,22,75,1335
19,23,25,990
20,2,60,990
20,15,40,1050
21,2,60,1051
21,15,40,1441
22,16,20,811
22,24,70,952
22,25,10,722
23,16,20,972
23,24,70,753
23,25,10,783
24,15,20,1423
24,16,5,1025
24,26,75,1404
25,15,20,1374
25,16,5,1374
25,26,75,925
26,27,60,1450
26,28,40,830
27,27,60,1030
27,28,40,1010
28,5,10,991
28,16,10,1441
28,26,60,791
28,29,20,972
29,5,10,782
29,16,10,1002
29,26,60,753
29,29,20,763
30,30,50,1463
